split_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tonnetz_0,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,specent_0,specent_1,specent_2,specent_3,specent_4,specent_5,specent_6,specent_7,specent_8,specent_9,specent_10,specent_11,specent_12,specent_13,specent_14,specent_15,specent_16,specent_17,specent_18,specent_19,specontrast_0,specontrast_1,specontrast_2,specontrast_3,specontrast_4,specontrast_5,specontrast_6,user
U1_87,-50.937725,103.778824,-51.856884,13.311041000000001,-10.96245,6.627690299999999,-2.4155152,0.99277496,-8.325496000000001,-4.514357599999999,-10.27635,-1.1457176000000002,-12.642713,-5.484185,-10.279482000000002,-2.8815231,-6.3655800000000005,1.077072,-7.480260400000001,-1.9895044999999998,0.0015180350562790429,0.011351876991288465,-0.0053150198668589005,-0.02729615903106281,-0.005285986814263393,0.014086476131074787,1836.5838591035451,1815.722500564149,1881.9908255826294,1817.0394230497893,1798.3996181275702,1860.7225335083656,1908.7487771046551,1960.8192194781216,1863.7507794652906,2467.23576156344,2803.89043588456,2565.782654668716,2345.6881166539497,2263.5027767416477,2165.303293519093,2147.990330994329,2138.8129724421747,2106.814457038024,2086.2475954161805,1992.1804081617886,20.750825138979,10.925939495772175,12.518864942314265,13.361058716887332,14.722390829259787,16.78783918026442,32.60443109158119,1
U1_88,-96.106476,98.69619,-63.299843,10.974018,-11.960006,6.244251,0.17912456,3.2083664,-5.188712000000001,-3.6081553,-8.081555,0.17932513,-11.259588,-5.526993,-9.712089,-3.6542218,-9.160071,1.8836267,-6.146637999999999,-3.2845904999999997,0.018645028214110244,0.006534488923789858,-0.007019192708292681,-0.03911338982054608,-0.004427778805052905,0.010596434189670446,2245.1431736901854,2201.8271247011835,2199.447224025968,2156.155932907626,2128.571555408381,2113.336065012498,2082.528856064244,2062.6195808383,1995.9614571702432,2103.013995260605,3160.0833197978322,2851.4066599680846,2608.2498673355162,2475.320651282641,2475.9490586479237,2500.310387189793,2422.281970424621,2410.216402477956,2316.6463175366825,2236.1864205621296,22.10449132389446,12.449193490985449,12.966963661557665,13.638409857681033,14.818582010656948,18.12109118900448,34.227322145642184,1
U1_89,-49.76404,91.54611,-54.531776,14.122728,-13.367513,5.208187000000001,-2.4829297,0.56643355,-6.5750684999999995,-1.8745191000000003,-8.803372,1.8820058999999998,-12.692383,-3.5534138999999993,-7.163473,-4.2403545,-7.699708500000001,0.7506142,-8.027435,-1.6040951,0.015316688105159784,0.0090391783602468,0.002916168036131555,-0.04765393914676312,-0.00501803673422084,0.004263406148415941,2250.7147107244546,2229.711899775536,2204.999363415885,2156.549488004025,2074.374416609276,2129.271715268348,2223.1898191592677,2205.6888512722453,2264.9397364285896,2166.4806086849194,2095.4422966717393,1979.1698877370466,3495.6416476223167,3239.591758943568,3038.162470610971,2886.832721303825,2610.0020580914033,2464.596848424021,2476.0322667203004,2499.7487284293993,20.64543935676365,11.35180809540828,12.737594888451163,12.877756888254881,14.421577775786917,17.42325332243625,32.94832428001126,1
U1_92,-510.10117,48.751606,2.1283279999999998,4.661686,-1.9656097,1.3783226999999998,-1.9682666000000002,-1.147948,-4.3152422999999995,-2.9469826,-8.871578,-3.4104775999999997,-6.588267,-3.495461,-3.6408982000000005,-3.0406709,-4.507314,-0.60403293,-6.7776875,-0.24484292,-0.002111761567369666,0.011736962583682422,-0.007490833322036349,-0.05159056182394142,-0.0020055046355010324,0.014925002473695596,5511.410060906837,5361.597151327568,4837.0893952935685,4297.920373466676,3694.747636106195,3187.666256787741,2735.0765844351536,2540.4463664585605,2604.7288405378463,2590.765719003238,2824.902066954478,2983.543895248933,2993.3035857901064,2917.169206222909,2452.8217851201043,2627.446548820749,2676.451858775511,2334.474358484113,2179.1006627177494,2314.125727130051,19.462229409888728,11.879748862763902,13.588952287707045,14.744021964760428,16.849730742259744,16.7242797264388,29.88014737721281,1
U1_93,-82.02967,105.21829,-31.734692,7.503474000000001,-6.499097,6.8503256,1.2075943999999998,-2.4568477000000004,-10.920894,-5.4483156,-15.159270999999999,-0.9559091999999999,-13.627028,-7.032816,-7.269867999999999,-3.4098437000000006,-5.817545,0.56531215,-11.034819,0.9758757,0.01937861601095555,0.020467184233589845,0.015228888169786937,-0.046901765397225834,-0.00723644689029467,0.018452231012199186,2367.268569857673,2749.716549940508,2463.375156107377,2255.315471650383,2301.898225592359,2220.143559006894,2166.5897502716743,2100.397119042142,2138.0745576697245,2148.2712159947014,2225.5294438126075,2034.3328587042988,2002.6757730213733,2000.4632234542842,2963.2506436958006,2825.0689529292604,2604.6798712478103,2468.1544026814613,2409.471425254725,2332.601993374977,21.056719786962265,11.306779605171291,12.57134040151458,12.845278813808456,14.640843616442275,18.28053461029207,31.61345497528771,1
U1_96,-538.2085,77.96271999999999,21.146964999999998,-2.9871947999999997,-6.7770844,4.225184400000001,-1.0864317,-8.602483,-9.718292,-8.810988,-10.576317,-9.480839,-9.437610000000001,-6.139346,2.2678316,-3.2130997000000003,-11.805536,-0.6225391,-5.052954,-1.9093752,0.0061781002967630436,0.01196236349136634,0.003158426575961676,-0.05425479712671306,0.0009298186959512704,0.025216388976437003,2603.7409987265305,2730.1343554305968,2538.621531940248,2275.557510728961,2465.460082544345,2617.689691827862,2357.197362647624,2140.546768328529,2299.0136072575115,2377.656304252155,2732.3666165403947,2419.53851134633,1955.1642813388407,1942.6527075895194,2008.373435588272,2122.2895451790196,2884.091959760833,3500.4455504596967,3175.860984133054,2956.1649935152086,19.16134371914361,11.572671539581432,14.536160159866133,15.714439487182878,18.740608003253985,18.213228342292005,29.691858874080967,1
U1_99,-453.6747,45.586548,6.0710692,9.956831,0.28799573,3.59188,0.7995055999999999,0.15685518,-2.2594328,-5.165319,-11.636426,-3.6584904000000003,-6.225321299999999,-4.439682,-4.904769,-5.565174,-6.0007589999999995,-3.8766887000000003,-7.468541,-1.9471502,0.01594718316606073,0.02691301423626816,0.018507890703006256,-0.03675652590805141,0.009111425400584038,0.013423420767160757,1761.5096599776753,2105.5139477421626,2423.3224557558137,2604.4109979275445,2436.2191997120235,2232.3991133514664,2397.8503082193743,2453.160286135804,2194.594857716436,2151.9154276230447,2025.8634320549409,1967.9170883603863,2285.3860023409925,2798.4726188941595,2787.059829940963,2502.983418748803,2380.654135888265,2246.5528765046934,2083.8011514625696,2204.3425362063213,17.835697244294288,13.515435273826276,13.416755753000656,14.815680688497643,16.2792613100735,16.746536794449558,29.4441478264226,1
U1_101,-604.67017,42.320156,-31.76809,8.825253,3.3714150999999997,2.6248388,-9.889188,0.2696534,-2.3700042000000003,-5.771315,-12.648721,-5.545861,-6.464046,-1.7992808,-6.7937365000000005,-5.202968599999999,-7.650436999999999,-1.691384,-10.546887,-1.6893099999999999,0.010720387895114472,0.01099931035667828,0.04003568184187311,-0.05265381148663115,0.014432192582758588,0.02284216922012051,2518.911760771508,2757.557293529397,3239.041549596903,3505.4348049402256,3509.968122992152,3482.117546886504,3358.469097813536,3347.8922917809105,4457.628047175385,4917.069648735165,4926.690584321375,4893.5227332889035,4680.820157763243,4632.186985223891,4759.030572272921,4749.799165872839,4679.398261984623,4605.050566325852,4493.778229639131,4393.282628148061,16.786607450347258,12.296393584981606,14.009108819269716,16.8249990398575,16.19180827553457,15.559682065165179,30.86225706209457,1
U1_104,-41.094868,100.15889,-52.522243,16.878693,-15.364597,0.0105563635,-5.6116858,-5.009786599999999,-10.477799000000001,-2.5400286,-11.2022,-2.1638683999999997,-14.700366,-3.9714952000000006,-5.635431,-1.6205155,-8.459416000000001,-1.0244728,-9.991512,-1.6848118000000003,0.009605951160350307,-0.018232665429116862,-0.006813491983660855,-0.020159609187609017,-0.004514346118070269,0.01881490207823191,2163.753396974727,2056.259568139114,1911.4876496692264,1958.095264479834,2004.3505080948335,1938.0990473854465,1926.2786230979214,1894.725202727273,1872.8939558786121,1782.7512719351294,2694.883599087925,2915.6756711339603,2708.651881597729,2527.0241885326873,2550.10212200758,2520.1770398510544,2431.533388901461,2406.696082302895,2344.779700796857,2338.479804263828,21.57800662207716,11.0613077558776,11.856657119040726,13.20218071567338,14.071549613763569,17.988871405310363,32.90043242688417,1
U1_106,-350.53247000000005,61.90341,-2.7328148,11.698242,2.6013607999999997,1.9601407,-2.8278284,-1.2164031000000002,-4.968245,-7.745617,-11.164288,-3.378863,-8.452661500000001,-6.4806604000000005,-5.796024299999999,-4.4577856,-4.831773,-1.2641228,-6.2677855000000005,-0.1448864,0.005940263277565839,0.01687771996856731,0.0008090308642588607,-0.02406259364951668,0.0024041966157919625,0.018288311693046688,1749.3552163213762,2019.534416296873,2553.490843488311,2441.280724184744,2143.856447274782,2292.5391978842176,2586.645131035561,2419.447479559087,2217.1402432346763,2316.029863677168,2371.042762520768,2167.757665931885,2158.583752182506,2202.1266071991063,2274.3977847803085,2580.119466670049,2400.0476971165663,2057.8817626819828,1974.2019956810736,1962.613040095084,18.507242196834657,11.40436829755593,14.086213353077689,13.99814036044785,15.322154527901006,16.23890434670638,29.825370409826533,1
